resource_id,resource_name,resource_url,description,archived,format,type,runtime,subject_areas,authoring_organization,intended_audiences,record_modified,resource_revised
L004842112,For All the People: A Century of Citizen Action in Health Care Reform - Health Care Reform and History - Lesson Plans,https://www.nlm.nih.gov/exhibition/forallthepeople/education/highereducation.html,"Health Care Reform and History is an educational module divided into six one-hour classes covering a century of reform struggles, from the early 1900s to the present.",False,HTML,Webinar Source Page,Unknown,History of Medicine,Exhibitions Team,Everyone; Educator,12/12/2023 12:00:00 AM,12/12/2023 12:00:00 AM
L003357112,For All the People: A Century of Citizen Action in Health Care Reform - The Power of Medicine - Lesson Plans,https://www.nlm.nih.gov/exhibition/forallthepeople/education/lessonplan.html,"Students first examine and categorize various types of information presented on an online source—“The Power of Medicine” from the For All the People online exhibition. They explore the web content and learn about how some people worked to expand access to health care to more people in the past. Students focus on two health professional leaders in the exhibition—Lillian Wald who founded the Henry Street Settlement, and Dr. Leonidas Berry who was a president of the National Medical Association. The lesson ends with an assignment where students work in small groups to research and prepare class presentations about Leonidas Berry or Lillian Wald.",False,HTML,Page,Unknown,K-12 Education; History of Medicine,Exhibitions Team,Everyone; Educator,12/12/2023 12:00:00 AM,09/30/2022 12:00:00 AM
L002886112,For Authors (PubMed Central),https://pmc.ncbi.nlm.nih.gov/about/submission-methods/,"This page aims to help authors determine whether their paper is eligible for submission to PMC, how it may be deposited, and by whom.",False,HTML,Help Page or FAQ,Unknown,PubMed Central; Public Access,"PubMed Central Team, NCBI",Everyone,10/28/2024 12:00:00 AM,03/14/2022 12:00:00 AM
L002801112,Foundations of Citizen Science + Libraries as Community Hubs for Citizen Science,https://www.nnlm.gov/training/class-catalog/foundations-citizen-science-libraries-community-hubs-citizen-science,"What is citizen science? How can I get involved? This 2 hour, on-demand, online class from NNLM and SciStarter.org introduces citizen science for librarians, staff, and community-based organization leaders and includes clear, specific instructions and case studies on how a small, midsize, or large library or organization can bring citizen science activities and programs to their community. This tutorial is available in English and Spanish through scistarter.org.",False,HTML,On-Demand Course,120.0,Consumer Health; Public Health,Network of the National Library of Medicine,Everyone; Educator,10/21/2022 12:00:00 AM,10/01/2021 12:00:00 AM
L003345112,Frankenstein: Penetrating the Secrets of Nature - Lesson Plans,https://www.nlm.nih.gov/exhibition/frankenstein/education/index.html,Frankenstein: Penetrating the Secrets of Nature presents the following classroom resources for K-12 and undergraduate educators and their students. The resources offer templates for incorporating the exhibition’s scholarly content in order to help students learn by examining and analyzing primary- and secondary-source visual and textual materials. They promote students’ consideration of science and society as a whole and develop historical perspectives on how scientific endeavors influence as well as are shaped by society and culture. Educators are welcome to adapt these resources in whole or in part as they deem appropriate for students’ interests and learning goals.,False,HTML,Page,Unknown,K-12 Education; History of Medicine,Exhibitions Team,Everyone; Educator,09/30/2022 12:00:00 AM,10/01/2014 12:00:00 AM
L003358112,From DNA To Beer: Harnessing Nature in Medicine and Industry - ACQUIRED AND PASSIVE IMMUNITY: Diphtheria Antitoxin Serum - Lesson Plan,https://www.nlm.nih.gov/exhibition/fromdnatobeer/education/lesson-plans.html,"This lesson plan uses the “Living Factories” section of the From DNA to Beer site, so that students learn about how horses and other animals were used to develop and produce antitoxin serum in order to prevent children with diphtheria from dying of suffocation. Students learn about and define acquired and passive immunity in animals, as they explore the horse’s immune response to the diphtheria toxin injection and the horse’s antitoxin serum that could prevent death in diphtheria patients.  The lesson plan is developed in collaboration with Samantha Candia (Francis Scott Key Middle School, Silver Spring, MD), with contributions by the 2013 Teacher Institute Participants.",False,HTML,Page,Unknown,K-12 Education; History of Medicine,Exhibitions Team,Everyone; Educator,12/12/2023 12:00:00 AM,09/30/2022 12:00:00 AM
L004843112,From DNA to Beer: Harnessing Nature in Medicine and Industry - ENGINEERING THE GENES: Ethical Dilemmas in Modern Biotechnology - Lesson Plan,https://www.nlm.nih.gov/exhibition/fromdnatobeer/education/higher-education-module.html,This higher education module sets developments in biotechnology since the 1970s into historical context and addresses the ethical issues they raise.,False,HTML,Webinar Source Page,Unknown,History of Medicine,Exhibitions Team,Everyone; Educator,12/12/2023 12:00:00 AM,12/12/2023 12:00:00 AM
L000927112,From Movies to Meals: Senior Services and Spaces at Your Local Library,https://youtu.be/AxRh9UmHxz8,"Libraries often are the de facto senior centers of our growing - and aging - communities.  The Marion Public Library embraces this role through program design, community feedback, and strategic partnerships.  In addition to ""traditional"" library programming, the library works to meet the nutritional and social needs of seniors through twice-weekly congregate meals as well as a monthly mobile food pantry visit.Speakers:Dawn Cline is the Outreach Services Coordinator at the Marion Public Library. A Marion native, her work includes serving as the library liaison to multiple community groups. Cline was instrumental in bringing senior meals to the Marion Library Spring 2018.Madeline Jarvis is the Adult and Information Services Coordinator at the Marion Public Library. Her work includes overseeing tween, teen, and adult programming; collection development; and wearing many hats.",False,MP4 Video,Webinar,53.0,Senior Health,Network of the National Library of Medicine,Everyone,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L005817112,From Problem to Prevention: Evidence-Based Public Health,https://www.youtube.com/watch?v=9al772St2c4,Learn the basics of evidence-based public health (EBPH) and essential steps of the EBPH process through the lens of NLM and other resources in this one- hour webinar.,False,MP4 Video,YouTube Video,57.0,Public Health,Network of the National Library of Medicine,Everyone,03/14/2025 12:00:00 AM,03/14/2025 12:00:00 AM
L004243112,Fundamentals of Health Sciences Research Data Management (requires free registration),https://www.nnlm.gov/training/class-catalog/fundamentals-health-sciences-research-data-management,"This class is designed to provide information professionals, working in health sciences, with an introduction to research data management. The primary goal of this course is to improve your knowledge and skills in research data management and enable you to add or enhance research data management training and services at your institution.  This 8-week course will have participants read foundational texts in research data management, engage in discussions with other participants, complete assignments designed to improve knowledge and skills, and develop a final project of teaching a concept from the course or delivering a presentation on library roles in research data management.  Participants will work with course facilitators and community experts to complete course assignments and gain an understanding of the role of research data management in libraries.  When this class is offered, participation will be capped at 60, so if you are interested in applying to register for this course, please commit to spending 3 total hours per week engaging with the course readings and assignments.",False,HTML,On-Demand Course,Unknown,Data Management,Network of the National Library of Medicine,Everyone; Educator,03/14/2025 12:00:00 AM,06/07/2023 12:00:00 AM
L00231080,Fundamentals of the NLM Classification Tutorial,https://www.nlm.nih.gov/tsd/cataloging/trainingcourses/classification/intro_010.html,A 9-module training course on using the NLM classification.,False,HTML,Tutorial,Unknown,NLM Classification,Metadata Management Program,Everyone,04/19/2021 12:00:00 AM,04/16/2021 12:00:00 AM
L00596080,GenBank Submissions,https://www.youtube.com/playlist?list=PL7dF9e2qSW0ZqrXzouzddPYXXZdbr-RCz,"A series of webinars presented from December 17, 2014 to April 13, 2016 outlining use of BankIt, a web-based submission tool at NCBI to submit sequence data to the GenBank database.",False,MP4 Video,YouTube Video,58.0,Genetics and Molecular Biology; Bioinformatics; Developmental Biology; Microbiology; Immunology; Agriculture; Cancer,"Training Team, NCBI",Everyone,10/13/2022 12:00:00 AM,03/05/2021 12:00:00 AM
L001763112,General Pilot FAQs,https://pmc.ncbi.nlm.nih.gov/about/nihpreprints-faq/#genfaq,"A look at some of the details of pilot implementation, such as inclusion in PubMed, and search strategies.",False,HTML,Page,Unknown,PubMed Central; Preprints,"PubMed Central Team, NCBI",Everyone,10/28/2024 12:00:00 AM,02/22/2023 12:00:00 AM
L005902112,Generative AI in Health Sciences Libraries: What to Do Now,https://www.youtube.com/watch?v=TjEETbZty0w,"In this webinar, Lauren Hays will share about the current state of generative AI. Then, she will lead a discussion about how this technology is impacting health sciences libraries and how it may impact health sciences libraries in the future. The webinar will end with information on how to effectively incorporate generative AI and address challenges it creates.",False,MP4 Video,YouTube Video,54.0,Data Science,Network of the National Library of Medicine,Everyone,03/25/2025 12:00:00 AM,03/25/2025 12:00:00 AM
L004991112,Genetic Testing Registry,https://youtu.be/tHW4nAlm16Y,This video provides an overview of the Genetic Testing Registry (GTR).,False,MP4 Video,YouTube Video,3.0,Genetics and Molecular Biology; Bioinformatics,"Training Team, User Engagement Program",Everyone,01/25/2024 12:00:00 AM,01/24/2024 12:00:00 AM
L004501112,Genetic Testing Registry (GTR) Submission Portal Improvements,https://www.youtube.com/watch?v=FjdLZ8oWkEQ,This video describes improvements to the GTR Submission Portal. These changes are designed to streamline your submissions and provide a more intuitive submission experience. Detailed examples of the improvements are provided.,False,MP4 Video,YouTube Video,5.0,Genetics and Molecular Biology,"Training Team, NCBI",Everyone; Educator,09/25/2023 12:00:00 AM,09/19/2023 12:00:00 AM
L005681112,Genetics 101 Resource Guide,https://www.nnlm.gov/guides/genetics-101-resource-guide,"This resource guide provides an introduction to key terms, concepts, and NCBI databases related to human genetics. The intended audience is users of NLM NCBI Resources, researchers, students, and information professionals.",False,HTML,Page,Unknown,Genetics and Molecular Biology,Network of the National Library of Medicine,Everyone; Educator,11/14/2024 12:00:00 AM,01/23/2024 12:00:00 AM
L001531112,Genome Data Viewer: Analyzing Remote BAM Alignment Files and Other Tips,https://www.youtube.com/watch?v=KaLgr6dIcQs,"This video shows you how to upload remote BAM files, and succinctly demonstrates handy viewer settings, such as Pileup display options, and highlights the very helpful tooltips.",False,MP4 Video,YouTube Video,Unknown,Genetics and Molecular Biology,"Training Team, NCBI",Everyone,06/17/2020 12:00:00 AM,01/08/2020 12:00:00 AM
L002141112,"Genome Data Viewer: Introducing Table View, a New Way to Navigate Assemblies",https://www.youtube.com/watch?v=QJRAoUChK3w,"Provides a very brief refresher on the Genome Data Viewer's home page, then introduces a new way to view and download assemblies. Table view offers an  easier way to see all the assemblies available for one organism, and for larger taxonomic groups.",False,MP4 Video,YouTube Video,3.0,Genetics and Molecular Biology; Other,"Training Team, NCBI",Everyone,04/29/2021 12:00:00 AM,03/05/2021 12:00:00 AM
L002081112,Genome Data Viewer: Navigate Exons and Find CDS Positions,https://www.youtube.com/watch?v=EVNABwOCt_s,"Shows you different ways to explore exons in gene transcripts, find CDS and protein positions, use HGVS-like expressions to locate positions, and download exon sequence.",False,MP4 Video,YouTube Video,4.0,Genetics and Molecular Biology; Other,"Training Team, NCBI",Everyone,04/29/2021 12:00:00 AM,02/04/2021 12:00:00 AM
L001521112,Genome Data Viewer: Tips for Zooming to Chromosomal Regions,https://www.youtube.com/watch?v=4WRUNovZ-aA&t=2s,"The Genome Data Viewer, or GDV, is NCBI's genome browser. We continue to update and add new functions, including the Chromosome Region Selector, the focus of this video.",False,MP4 Video,YouTube Video,Unknown,Genetics and Molecular Biology,"Training Team, NCBI",Everyone,06/17/2020 12:00:00 AM,06/12/2020 12:00:00 AM
L002644112,Genome Workbench: Update Sequence,https://www.youtube.com/watch?v=1SQ9tGxM4Bs,How to update your GenBank sequences with new annotation or sequence.,False,MP4 Video,YouTube Video,7.0,Genetics and Molecular Biology; Other,"Training Team, NCBI",Everyone; Educator,12/29/2021 12:00:00 AM,11/26/2021 12:00:00 AM
L000742112,Genomic Data Sharing Policy and dbGaP submissions,https://www.youtube.com/watch?v=aGnFLTHCE04&feature=youtu.be,"In this webinar, presented mainly for NIH intramural investigators engaged in GWAS and other genomic research efforts at NIH, you will learn about working with your Genomics Program Administrator to register your study in dbGaP and how to prepare your project metadata files, phenotypes, and molecular data for submission to dbGaP. Although this presentation is intended for NIH intramural researchers, it will also help those outside NIH who plan to submit data to dbGaP.",False,MP4 Video,YouTube Video,49.0,Genetics and Molecular Biology; My NCBI; Data Management,"Training Team, NCBI",Developer,12/06/2023 12:00:00 AM,02/08/2016 12:00:00 AM
L003142112,Getting Started with NCBI Data in Python,https://www.nlm.nih.gov/oet/ed/ncbi/2022_04_python.html,"On April 19, the NCBI Education Team provided a workshop on Getting Started with NCBI Data in Python. Training materials from this event are available on this page.",False,HTML,Webinar Source Page,168.0,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",Everyone; Educator,07/15/2022 12:00:00 AM,04/19/2022 12:00:00 AM
L002807112,Getting Started with NCBI Data in Python,https://www.nlm.nih.gov/oet/ed/ncbi/2021_12_python.html,"On December 14, the NCBI Education Team provided a workshop on Getting Started with NCBI Data in Python. Training materials from this event are available on this page.  Learn how to tackle bigger biomolecular datasets more reliably with the power of Python programming. This workshop is designed for biologists without programming experience. Our examples will use genomic, transcript, and protein sequence data, but the programming skills will be broadly relevant for all biologists.",False,HTML,Webinar Source Page,167.0,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",Everyone,02/18/2022 12:00:00 AM,12/14/2021 12:00:00 AM
L002321112,Getting the Full Picture with ClinicalTrials.gov,https://www.nlm.nih.gov/oet/ed/ct/full_picture.html,"Kristina Elliott from the National Library of Medicine discusses the role of <a href=""https://clinicaltrials.gov/"">ClinicalTrials.gov</a> in making the results of clinical research transparent to the public. This presentation was created for the 2018 Medical Library Association (MLA) Annual meeting.",False,MP4 Video,Video Tutorial,15.0,ClinicalTrials.gov,"Training Team, User Engagement Program",Everyone; Educator,08/10/2021 12:00:00 AM,05/13/2018 12:00:00 AM
L000973112,Getting the Right Information to Patients Using MedlinePlus Connect: Tutorial  (requires free registration),https://www.nnlm.gov/training/class-catalog/getting-right-information-patients-using-medlineplus-connect,"This one-hour training session with videos and exercises is intended to introduce you to what MedlinePlus Connect does and how, and point you to resources for implementing MedlinePlus Connect at your institution.",False,HTML,On-Demand Course,60.0,MedlinePlus; Clinical Medicine; Consumer Health; Health Care Technology,"Training Team, User Engagement Program",Everyone; Educator; Developer,03/14/2025 12:00:00 AM,09/01/2021 12:00:00 AM
L003346112,Graphic Medicine & Mental Health - Lesson Plan,https://www.nlm.nih.gov/exhibition/graphicmedicine/education-lessonplan1.html,"Students explore the graphic novel format used for personal stories of illnesses, known as graphic medicine.",False,HTML,Page,Unknown,K-12 Education; History of Medicine,Exhibitions Team,Everyone; Educator,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L003721112,HEALTH BYTES w/ Region 3 - Use of podcasts to reduce misinformation,https://www.youtube.com/watch?v=nouuigo-vog&list=PLUlRqrjIldD7WWe8pkl2uIhXFzvneYco0,"This presentation will share information about a project funded by the All of Us project in conjunction with the National Library of Medicine. It showcases the use of podcasts to promote health literacy and inform the Latinx community about relevant health topics, during the COVID-19 Pandemic. It is a collaboration of Spanish speaking healthcare providers, librarians, and community organizers. The goal is to educate and reduce misinformation within this community about relevant health issues.",False,MP4 Video,YouTube Video,53.0,Other; Consumer Health,Network of the National Library of Medicine,Everyone,01/06/2023 12:00:00 AM,01/13/2022 12:00:00 AM
L005809112,Health Bytes - A Guide to Getting Started in Research and Publishing,https://www.youtube.com/watch?v=d6yu93Fcvjw,"This webinar is designed to give new professionals a look at how to approach publishing and research as new librarians, faculty, and/or professionals. Starting with idea formation and running through finding collaborators, submitting to the IRB, submitting the first manuscript, rewrites and more. Dr. Blake will break down the writing, research and publication processes into steps designed to help new or accomplished professionals to more easily move through each area.",False,MP4 Video,YouTube Video,55.0,Health Services Research; Public Access,Network of the National Library of Medicine,Everyone,03/14/2025 12:00:00 AM,03/14/2025 12:00:00 AM
L005883112,Health Bytes - AI in Healthcare: Balancing Risk and Opportunity,https://www.youtube.com/watch?v=GyGp98vvEqA,"echnology is advancing at a rapid pace in what can feel like every sector of our lives, and healthcare is not exempt. AI assists in detecting, predicting, and monitoring health status, conditions, and behavior and assists in processes related to direct healthcare delivery. This presentation provides practical guidance on how to start creating a system for the use of AI so healthcare organizations manage AI and leverage it as a beneficial tool.",False,MP4 Video,YouTube Video,51.0,Data Science,Network of the National Library of Medicine,Everyone,03/19/2025 12:00:00 AM,03/19/2025 12:00:00 AM
L005908112,Health Bytes - Conducting a Systematic Review: An Overview of the Process,https://www.youtube.com/watch?v=N5BXgtqFFZU,"A high-quality systematic review is the most reliable source of evidence to help clinical decision making. This presentation will briefly discuss the steps, best practices, and strategies for conducting a systematic review in a smaller library setting or for a solo librarian with multiple job roles in an academic medical center.",False,MP4 Video,YouTube Video,57.0,Data Management,Network of the National Library of Medicine,Educator,03/26/2025 12:00:00 AM,06/23/2023 12:00:00 AM
L005843112,Health Bytes - Enhancing AI Interactions: CLEAR Framework for Effective Prompting,https://www.youtube.com/watch?v=0gjpB3ew7xQ,"This webinar introduces the CLEAR framework—a structured approach to prompting that enhances interactions with AI systems. Designed for librarians, educators, and information professionals, the session will provide actionable strategies to craft precise prompts, improving AI-generated outputs. Participants will learn to apply the CLEAR framework to improve their ability to teach, support patrons, and integrate AI technologies into their workflows. Through theoretical explanations and hands-on examples, attendees will gain the confidence and skills necessary to harness AI's potential in their professional settings.",False,MP4 Video,YouTube Video,56.0,Data Science,Network of the National Library of Medicine,Educator,03/17/2025 12:00:00 AM,03/17/2025 12:00:00 AM
L005909112,"Health Bytes - Improving Health Outcomes: IBH, Value-Based Payment, and Older Adults",https://www.youtube.com/watch?v=y6gJNeNxfQA,"This webinar reviews how utilizing an integrated approach to primary care funded by Value-based Care, a newer payment model which financially incentivizes effective and quality treatment, can improve health outcomes, patient and staff satisfaction, and reduce overall cost of care in senior health clinics.",False,MP4 Video,YouTube Video,55.0,Other; Consumer Health; Population Groups,Network of the National Library of Medicine,Educator,03/26/2025 12:00:00 AM,03/26/2025 12:00:00 AM
L005806112,Health Bytes - NNLM R3 project overview: Powering Clinics & Communities with PubMed,https://www.youtube.com/watch?v=zSk-xjMC38U,"This webinar is designed to provide a general overview of the NNLM grant submission process, with a focus on assessing needs within a library, organization, or community, identifying potential funding sources, crafting a strong grant proposal, and implementing the project.",False,MP4 Video,YouTube Video,46.0,PubMed; Other,Network of the National Library of Medicine,Educator,03/14/2025 12:00:00 AM,03/14/2025 12:00:00 AM
L005907112,Health Bytes - Prime Time Nourish: Discussing Food and the Human Experience through the Lens of Children’s Books,https://www.youtube.com/watch?v=Csi49O4MhJ8,"Prime Time Nourish allows us to explore the big ideas that arise when we talk about food and the human experience. This presentation will highlight program features, impact, and opportunities for partnership.",False,MP4 Video,YouTube Video,47.0,Consumer Health,Network of the National Library of Medicine,Everyone,03/26/2025 12:00:00 AM,10/03/2023 12:00:00 AM
L005805112,Health Bytes - Promotion of Digital Access & Literacy among People who Use Substances,https://www.youtube.com/watch?v=IgW5-izTSWs,"This talk reviews feedback from people who use substances in the St. Louis, Missouri region about an ongoing digital health intervention, discusses how the information gleaned is being actively used to integrate digital literacy into substance use care programming, and demonstrates how our research team continues to advocate for the prioritization of digital access and literacy in the region, especially for lower-income and non-white recovery communities.",False,MP4 Video,YouTube Video,44.0,Other; Consumer Health,Network of the National Library of Medicine,Everyone,03/14/2025 12:00:00 AM,03/14/2025 12:00:00 AM
L005863112,Health Bytes - Sexual and Reproductive Health in Libraries,https://www.youtube.com/watch?v=4QXvmgzqe9k,Looking to provide evidence-based sexual and reproductive health information in your library? This webinar is for you. Sexual and reproductive health information is a crucial aspect of comprehensive health information. Libraries have an opportunity to develop collections and reference strategies that allow patrons to learn about sexual and reproductive health information.,False,MP4 Video,YouTube Video,63.0,Consumer Health; Public Health; Public Access,Network of the National Library of Medicine,Educator,03/18/2025 12:00:00 AM,03/18/2025 12:00:00 AM
L005906112,"Health Bytes - The Future Will See You Now: AI for Healthcare, A Library’s Perspective",https://www.youtube.com/watch?v=Kj24jytwu6Y,"Newly released AI tools are poised to dramatically disrupt multiple industries, including healthcare and libraries. This webinar explores numerous healthcare applications that use AI, both current and in development - from a new industry-saving “bot workforce” to self-driving microscopes.  With AI, comes the need for more student–centered learning and greater information literacy needs which libraries can provide.",False,MP4 Video,YouTube Video,54.0,Data Science,Network of the National Library of Medicine,Everyone,03/26/2025 12:00:00 AM,10/24/2023 12:00:00 AM
L005885112,Health Bytes SPECIAL EDITION - Intro to the Piecing Together Systematic Reviews Series,https://www.youtube.com/watch?v=l6r3fCFRqMg,"""Introduction to the Piecing Together Systematic Reviews Series"" is presented by Margaret Foster, MS, MPH, Evidence Synthesis and Scholarly Communication Librarian and the Head of the Center for Systematic Reviews and Research Syntheses at the Medical Sciences Library, Texas A&M University.  This SPECIAL EDITION of Health Bytes with Region 3 serves as an introduction to the 5-part Piecing Together Systematic Reviews Series.",False,MP4 Video,YouTube Video,51.0,Other,Network of the National Library of Medicine,Everyone,03/19/2025 12:00:00 AM,03/19/2025 12:00:00 AM
L005721112,Health Data Standards and Terminologies: A Tutorial,https://www.nlm.nih.gov/oet/ed/healthdatastandards/index.html,"Explore the different types of health data standards and how they support interoperability of health information systems. Learn about relevant NLM terminology products, tools, and services.",False,HTML,Tutorial,150.0,Terminology; Bioinformatics; Data Management,"Training Team, User Engagement Program",Everyone; Educator; Developer,12/06/2024 12:00:00 AM,12/06/2024 12:00:00 AM
L001021112,Health Data Standards and Terminologies: A Tutorial  (requires free registration),https://www.nnlm.gov/training/class/health-data-standards-and-terminologies,"Explore the different types of health data standards and how they support interoperability of health information systems. Learn about relevant NLM terminology products, tools, and services.",False,HTML,On-Demand Course,150.0,Terminology; Bioinformatics; Data Management,"Training Team, User Engagement Program",Everyone; Educator; Developer,03/14/2025 12:00:00 AM,12/06/2024 12:00:00 AM
L005722112,Health Data Standards and Terminologies: A Tutorial (SCORM package),https://www.nlm.nih.gov/oet/ed/healthdatastandards/HDS_SCORM.zip,"Explore the different types of health data standards and how they support interoperability of health information systems. Learn about relevant NLM terminology products, tools, and services.",False,ZIP,SCORM Package,150.0,Terminology; Bioinformatics; Data Management,"Training Team, User Engagement Program",Educator,12/06/2024 12:00:00 AM,12/06/2024 12:00:00 AM
L004741112,Health Education Materials Assessment Tool (HEMAT),https://medlineplus.gov/pdf/HealthEducationMaterialsAssessmentTool.pdf,Use this document to figure out if a material can be designated as “easy-to-read.”,False,PDF,Document,Unknown,MEDLINE; Consumer Health,MedlinePlus Team,Everyone; Educator; Developer,11/22/2023 12:00:00 AM,12/05/2022 12:00:00 AM
L005905112,Health Insurance Literacy in Libraries,https://www.youtube.com/watch?v=SVTQiWLDLS0,"Many people have difficulty knowing how to find a physician, fill a prescription, use and pay for medications, and use health information to make informed decisions about their health. Libraries are prominent places in communities, making libraries and librarians excellent resources for advancing health information literacy. This webinar talks about health insurance literacy in libraries.",False,MP4 Video,YouTube Video,56.0,Other; Consumer Health,Network of the National Library of Medicine,Everyone,03/25/2025 12:00:00 AM,03/25/2025 12:00:00 AM
L002802112,Health Literacy On Demand (requires free registration),https://www.nnlm.gov/training/class-catalog/health-literacy-demand,Health Literacy On Demand is a 1-hour narrated tutorial with activities where you can learn about: • The definitions of personal and organizational health literacy • Communication practices you can do to improve health literacy • 3 resources that you can use to improve health literacy,False,HTML,On-Demand Course,60.0,Consumer Health; Public Health,Network of the National Library of Medicine,Everyone; Educator,03/14/2025 12:00:00 AM,10/11/2021 12:00:00 AM
L005910112,Health Programming at Your Library,https://www.youtube.com/watch?v=ZHQ5WrADHDk,this 90-minute webinar discusses ideas on how to create health programs for libraries and community/faith-based organizations.,False,MP4 Video,YouTube Video,80.0,Other; Consumer Health,Network of the National Library of Medicine,Everyone,03/26/2025 12:00:00 AM,03/24/2025 12:00:00 AM
L001644112,Health Reference Express: Communication and Confidentiality Essentials for Library Workers (requires free registration),https://www.nnlm.gov/training/class/health-reference-express-communication-and-confidentiality-essentials-library,"This class provides basic information about communication and confidentiality for library workers who answer health reference questions, and was created for an audience of people who work in public or academic libraries or other information professions.",False,HTML,On-Demand Course,180.0,MedlinePlus; PubMed; Consumer Health,Network of the National Library of Medicine,Everyone; Educator,03/14/2025 12:00:00 AM,12/01/2024 12:00:00 AM
L000926112,"Health and Nutrition Literacy: The Social Determinants of Health, Healing, and Patient Safety",https://youtu.be/ncxeJ2o3tx0,"Guest Speaker: Teresa Wagner, DPH, Assistant Professor and Senior Fellow, SaferCare Texas, University of North Texas Health Science CenterDescription:  Healthy People 2020 recognizes that, ""Health starts in our homes, schools, workplaces, neighborhoods, and communities."" We know that taking care of ourselves by eating well and staying active, avoiding smoking & nicotine, getting immunizations and screening tests, adequate sleep and having access to healthcare when we are sick all influence our health. These factors are called the Social Determinants of Health and play out in our overall health and wellness.The ability to understand these factors and how they interact with, ""the resources and supports available in our homes, neighborhoods, and communities; the quality of our schooling; the safety of our workplaces; the cleanliness and quality of our water, food, and air; and the nature of our social interactions and relationships"" plays a key role in our health healing & ultimately reflects in our recovery response to healthcare services. This presentation will not only explain these intersections of life, health literacy and society but also offer community-based and programmatic solutions.Objectives: Upon completion of this session, attendees will be able to:-Describe Health Literacy & Identify Issues Related-Identify Health Literacy as a Barrier to Proper Nutrition & Health Behavior-Analyze how these Impact Health, Healing & Patient Safety-Develop Solutions within the Community/Healthcare Continuum",False,MP4 Video,Webinar,53.0,Public Health; Senior Health,Network of the National Library of Medicine,Everyone,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L003461112,How BLAST Works & Using Web BLAST Effectively,https://www.nlm.nih.gov/ncbi/workshops/2022-10_Basic-Web-BLAST/workshop-details.html,This workshop is designed for begining BLAST users or people wanting a refresher on how blast works and some tips on how to run effective BLAST searches.,False,HTML,Webinar Source Page,107.0,Genetics and Molecular Biology; Bioinformatics; NCBI Workshops,"Training Team, NCBI",Everyone; Educator,11/08/2022 12:00:00 AM,11/04/2022 12:00:00 AM
L005901112,How Community Health Workers fit in Team Base Care,https://www.youtube.com/watch?v=kYj_O3UfMhE,This webinar explores how to best utilize Community Health Workers (CHWs) in your organization to improve team-based care.,False,MP4 Video,YouTube Video,51.0,Other; Consumer Health; Public Health,Network of the National Library of Medicine,Educator; Developer,03/25/2025 12:00:00 AM,03/25/2025 12:00:00 AM
L001741112,How PubMed Works - On Demand (requires free registration),https://www.nnlm.gov/training/class-catalog/how-pubmedr-works-demand,"Are you new to PubMed? Maybe you'd like a refresher. This on-demand, 4 module online class walks through all the parts of the PubMed interface. Each module is designed to take approximately 90 minutes to complete, and each is worth 1.5 MLA CE credits.  You can start and stop at your convenience, and take only the modules that interest you. Each module is made up of a pre- and post-test, a recording and an assignment.",False,HTML,On-Demand Course,360.0,PubMed; PubMed Central; Bookshelf,Network of the National Library of Medicine,Everyone; Educator,03/14/2025 12:00:00 AM,07/17/2024 12:00:00 AM
L00256080,How PubMed Works - Webinar Playlist,https://www.youtube.com/playlist?list=PLUlRqrjIldD7fIGU8tw518b7UZ-zBMOPd,This series of four classes addresses increasing health information access and use by highlighting information about the National Library of Medicine’s PubMed bibliographic database.,False,MP4 Video,YouTube Video,360.0,PubMed; PubMed Central; Bookshelf,Network of the National Library of Medicine,Everyone; Educator,03/17/2025 12:00:00 AM,11/13/2024 12:00:00 AM
L001564112,How To Adjust Graph Display Settings in NCBI's Genome Data Viewer,https://www.youtube.com/watch?v=mzHxUQbJDGw,"This video introduces enhancements to our genome browser, the Genome Data Viewer (GDV).  These new settings allow you to customize graph displays in any NCBI resource incorporating our Sequence Viewer, including dbSNP, Gene and the GDV.",False,MP4 Video,YouTube Video,Unknown,Genetics and Molecular Biology,"Training Team, NCBI",Everyone,06/18/2020 12:00:00 AM,02/14/2019 12:00:00 AM
L001563112,How To Identify Your 16S rRNA Sequences,https://www.youtube.com/watch?v=1q8MlSheJPc,"This quick tutorial shows you how to use BLAST to identify your 16S sequences, and provides a few BLAST search tips. NCBI provides a curated database of 16S sequences from well-supported type material that is a subset of the BLAST nt database.",False,MP4 Video,YouTube Video,Unknown,Genetics and Molecular Biology,"Training Team, NCBI",Everyone,06/18/2020 12:00:00 AM,02/16/2019 12:00:00 AM
L005421112,"How To Submit High-Throughput Sequence Data to GEO, Gene Expression Omnibus",https://www.youtube.com/watch?v=RqkRPcF38Lw,"This tutorial is for those submitting high-throughput sequence data to GEO, the Gene Expression Omnibus.",False,MP4 Video,YouTube Video,7.0,Genetics and Molecular Biology,"Training Team, NCBI",Everyone; Educator,09/03/2024 12:00:00 AM,08/29/2024 12:00:00 AM
